response_id,status,language,sessionid,user_agent,tags,ip_address,longitude,latitude,country,city,state_region,postal,which_higher_education_institution_do_you_or_did_you_study_at?,what_is_your_current_year_of_study_as_of_2025?,what_will_be_your_highest_qualification_when_you_graduate?,which_of_the_following_best_describes_the_main_subject_that_you_are_studying?,please_indicate_your_nationality,what_is_your_gender?,which_of_these_statements_best_describes_your_current_perception_of_the_organisation_as_an_employer?,types_of_roles_available:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),career_progression_and_development:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),compensation_and_benefits:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),work-life_balance_and_culture:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),application_and_interview_process:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),other_-_write_in_(required):what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),other_-_write_in_(required):what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3)__1,"on_a_scale_from_1_to_10_(1_–_low,_10_–_high),_how_would_you_rate_the_attractiveness_of_the_organisation_as_an_employer?",which_of_these_factors_would_most_motivate_you_to_apply_for_a_position_at_the_organisation?,other_-_write_in_(required):which_of_these_factors_would_most_motivate_you_to_apply_for_a_position_at_the_organisation?,student_interest_profile,time_taken,student_segment,rating_col,year_group,nationality_group,gender_group,field_group,perception_group,motivation_group,score_group,segment
358,Complete,English,1758980591_68d7e9efea2bc0.61403277,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,,138.75.18.190,103.8862991333,1.3690999746323,Singapore,Singapore,0,54.0,INSEAD Asia,Year 4,Bachelor's Degree,Historical/Philosophical Science,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,10.0,Work-life balance,,"Types of roles available, Work-life balance and culture, Application and interview process",3.9833333333333334,Late Talent (Graduate Seekers),10.0,Year 4,Singaporean/PR,Female,Social Sciences,Positive but Uninformed,Work-Life Balance,High (8-10),High Potential but Uninformed
359,Complete,English,1758965079_68d7ad57856e75.09076419,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,National University of Singapore (NUS),Year 2,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,6.0,Work-life balance,,"Career progression and development, Compensation and benefits, Work-life balance and culture",2.0833333333333335,Early Talent (Internship Seekers),6.0,Year 2,Singaporean/PR,Male,IT/Tech,Recognize but Unclear,Work-Life Balance,Medium (5-7),High Potential but Uninformed
360,Complete,English,1758981417_68d7ed29117e60.54098813,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Others,Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,,Application and interview process,,,2.0,Compensation package,,"Career progression and development, Compensation and benefits, Application and interview process",5.466666666666667,Early Talent (Internship Seekers),2.0,Year 1,Singaporean/PR,Male,Engineering,Unfamiliar/No Opinion,Compensation Package,Low (1-4),Disengaged/Non-Target
361,Complete,English,1758982341_68d7f0c55ed456.33634608,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,3.0,Work-life balance,,"Compensation and benefits, Work-life balance and culture, Application and interview process",1.0666666666666667,Early Talent (Internship Seekers),3.0,Year 1,Singaporean/PR,Male,Engineering,Unfamiliar/No Opinion,Work-Life Balance,Low (1-4),Disengaged/Non-Target
362,Complete,English,1758982440_68d7f128b488e0.49597069,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Medicine, Dentistry and related subjects",Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,3.0,Work-life balance,,"Career progression and development, Compensation and benefits, Work-life balance and culture",0.8333333333333334,Early Talent (Internship Seekers),3.0,Year 2,Singaporean/PR,Male,Medicine/Health,Unfamiliar/No Opinion,Work-Life Balance,Low (1-4),Disengaged/Non-Target
363,Complete,English,1758982520_68d7f1786e8c18.82369587,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,,Application and interview process,,,3.0,Career growth opportunities,,"Career progression and development, Compensation and benefits, Application and interview process",0.6833333333333333,Early Talent (Internship Seekers),3.0,Year 1,Singaporean/PR,Male,Engineering,Unfamiliar/No Opinion,Career Growth Opportunities,Low (1-4),Disengaged/Non-Target
364,Complete,English,1758982632_68d7f1e8194865.55334598,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,3.0,Compensation package,,"Career progression and development, Compensation and benefits, Work-life balance and culture",0.8833333333333333,Early Talent (Internship Seekers),3.0,Year 1,Singaporean/PR,Male,Engineering,Familiar & Positive,Compensation Package,Low (1-4),Disengaged/Non-Target
365,Complete,English,1758982704_68d7f2305bec92.63372625,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,5.0,Career growth opportunities,,"Compensation and benefits, Work-life balance and culture, Application and interview process",0.6333333333333333,Early Talent (Internship Seekers),5.0,Year 1,Singaporean/PR,Male,Engineering,Unfamiliar/No Opinion,Career Growth Opportunities,Medium (5-7),Disengaged/Non-Target
366,Complete,English,1758982993_68d7f351994487.29767051,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/21F79 Safari/604.1",,119.234.69.86,103.91429901123,1.315299987793,Singapore,Singapore,0,42.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7.0,Career growth opportunities,,"Career progression and development, Compensation and benefits, Work-life balance and culture",2.5,Early Talent (Internship Seekers),7.0,Year 2,Singaporean/PR,Female,Business/Management,Familiar & Positive,Career Growth Opportunities,Medium (5-7),Other Segment
368,Complete,English,1758984544_68d7f960ebd1c2.89693837,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,180.129.89.2,103.83670043945,1.3652000427246,Singapore,Singapore,0,57.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,,Work-life balance and culture,Application and interview process,,,9.0,Career growth opportunities,,"Career progression and development, Work-life balance and culture, Application and interview process",1254.3833333333334,Early Talent (Internship Seekers),9.0,Year 2,Singaporean/PR,Female,Business/Management,Familiar & Positive,Career Growth Opportunities,High (8-10),Career-Driven Business Students
369,Complete,English,1758984616_68d7f9a8d61d94.85733804,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,4.0,Work-life balance,,"Types of roles available, Career progression and development, Compensation and benefits",2.0,Early Talent (Internship Seekers),4.0,Year 1,Singaporean/PR,Male,Business/Management,Recognize but Unclear,Work-Life Balance,Low (1-4),Disengaged/Non-Target
371,Complete,English,1758985002_68d7fb2a096663.18829735,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,6.0,Job security,,"Types of roles available, Career progression and development, Compensation and benefits",2.716666666666667,Early Talent (Internship Seekers),6.0,Year 1,Singaporean/PR,Male,Business/Management,Familiar & Positive,Job Security,Medium (5-7),Other Segment
372,Complete,English,1758985214_68d7fbfe2e55b5.90711438,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Architecture, Building and Planning",Singaporean/Singapore PR,Prefer not to say,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",3.8,Early Talent (Internship Seekers),7.0,Year 2,Singaporean/PR,Prefer not to say,IT/Tech,Familiar & Positive,Career Growth Opportunities,Medium (5-7),Other Segment
373,Complete,English,1758985221_68d7fc054f3b20.91811480,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,National University of Singapore (NUS),Year 3,Bachelor's Degree,Education/Teaching,Singaporean/Singapore PR,Prefer not to say,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,4.0,Job security,,"Types of roles available, Compensation and benefits, Work-life balance and culture",3.683333333333333,Late Talent (Graduate Seekers),4.0,Year 3,Singaporean/PR,Prefer not to say,Education,Recognize but Unclear,Job Security,Low (1-4),Disengaged/Non-Target
374,Complete,English,1758985229_68d7fc0d9141b1.42063737,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Prefer not to say,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,,Compensation and benefits,,Application and interview process,,,3.0,Meaningful work impact,,"Types of roles available, Compensation and benefits, Application and interview process",4.833333333333333,Early Talent (Internship Seekers),3.0,Year 1,Singaporean/PR,Prefer not to say,Business/Management,Recognize but Unclear,Meaningful Work Impact,Low (1-4),Disengaged/Non-Target
375,Complete,English,1758985234_68d7fc12741143.57494317,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,PSB Academy,Year 1,Bachelor's Degree,Geography and Environmental Science,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,4.0,Job security,,"Types of roles available, Career progression and development, Work-life balance and culture",5.6,Early Talent (Internship Seekers),4.0,Year 1,Singaporean/PR,Male,Social Sciences,Positive but Uninformed,Job Security,Low (1-4),Disengaged/Non-Target
376,Complete,English,1758985238_68d7fc16d0f238.70095407,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,8.0,Work-life balance,,"Career progression and development, Compensation and benefits, Work-life balance and culture",6.5,Early Talent (Internship Seekers),8.0,Year 2,Singaporean/PR,Male,Social Sciences,Positive but Uninformed,Work-Life Balance,High (8-10),High Potential but Uninformed
377,Complete,English,1758985257_68d7fc29de87e8.62326190,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,,,Work-life balance and culture,Application and interview process,,,4.0,Work-life balance,,"Types of roles available, Work-life balance and culture, Application and interview process",9.4,Early Talent (Internship Seekers),4.0,Year 1,Singaporean/PR,Male,Business/Management,Recognize but Unclear,Work-Life Balance,Low (1-4),Disengaged/Non-Target
378,Complete,English,1758985256_68d7fc28ab76c4.79706313,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,National University of Singapore (NUS),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,,Work-life balance and culture,Application and interview process,,,2.0,Meaningful work impact,,"Career progression and development, Work-life balance and culture, Application and interview process",8.35,Early Talent (Internship Seekers),2.0,Year 1,Singaporean/PR,Male,Business/Management,Positive but Uninformed,Meaningful Work Impact,Low (1-4),Disengaged/Non-Target
379,Complete,English,1758985251_68d7fc233483f5.74450145,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,116.15.222.47,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,National University of Singapore (NUS),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,,Compensation and benefits,,Application and interview process,,,2.0,Compensation package,,"Types of roles available, Compensation and benefits, Application and interview process",7.3,Early Talent (Internship Seekers),2.0,Year 2,Singaporean/PR,Male,Business/Management,Familiar & Positive,Compensation Package,Low (1-4),Disengaged/Non-Target
380,Complete,English,1758989735_68d80da74c5825.17666388,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.36.37,103.86280059814,1.3384000062943,Singapore,Singapore,0,35.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,5.0,Meaningful work impact,,"Career progression and development, Compensation and benefits, Work-life balance and culture",0.9333333333333333,Early Talent (Internship Seekers),5.0,Year 2,Singaporean/PR,Female,Business/Management,Recognize but Unclear,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
382,Complete,English,1758989956_68d80e843c7945.29335079,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.36.37,103.86280059814,1.3384000062943,Singapore,Singapore,0,35.0,National University of Singapore (NUS),Year 2,Bachelor's Degree,English,Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,2.0,Work-life balance,,"Types of roles available, Compensation and benefits, Work-life balance and culture",1.05,Early Talent (Internship Seekers),2.0,Year 2,Singaporean/PR,Female,Other,Recognize but Unclear,Work-Life Balance,Low (1-4),Disengaged/Non-Target
383,Complete,English,1758996027_68d8263b7c0960.79783722,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/22H20 Safari/604.1",,111.65.48.1,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5.0,Job security,,"Types of roles available, Work-life balance and culture, Application and interview process",1.6166666666666667,Early Talent (Internship Seekers),5.0,Year 2,Singaporean/PR,Female,Engineering,Recognize but Unclear,Job Security,Medium (5-7),High Potential but Uninformed
386,Complete,English,1759039272_68d8cf288ec4f4.81990353,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.3.206,103.83670043945,1.3652000427246,Singapore,Singapore,0,57.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",1.25,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Career Growth Opportunities,High (8-10),Career-Driven Business Students
387,Complete,English,1759039390_68d8cf9e7a8d51.75960635,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.1.206,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",0.8,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Career Growth Opportunities,High (8-10),Career-Driven Business Students
388,Complete,English,1759039483_68d8cffb154113.87264924,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.1.206,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",0.8,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Career Growth Opportunities,High (8-10),Career-Driven Business Students
389,Complete,English,1759039542_68d8d036a8ba10.89851991,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.3.206,103.83670043945,1.3652000427246,Singapore,Singapore,0,57.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Meaningful work impact,,"Types of roles available, Career progression and development, Compensation and benefits",0.7,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Meaningful Work Impact,High (8-10),Career-Driven Business Students
390,Complete,English,1759039594_68d8d06a45ac89.74392698,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.1.206,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,9.0,Work-life balance,,"Types of roles available, Career progression and development, Work-life balance and culture",0.9833333333333333,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Work-Life Balance,High (8-10),Career-Driven Business Students
391,Complete,English,1759039661_68d8d0ad678580.17543349,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.3.206,103.83670043945,1.3652000427246,Singapore,Singapore,0,57.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,,Application and interview process,,,9.0,Compensation package,,"Career progression and development, Compensation and benefits, Application and interview process",0.8666666666666667,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Familiar & Positive,Compensation Package,High (8-10),Career-Driven Business Students
392,Complete,English,1759039721_68d8d0e94560e2.45389837,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.3.206,103.83670043945,1.3652000427246,Singapore,Singapore,0,57.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",0.7833333333333333,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Career Growth Opportunities,High (8-10),Career-Driven Business Students
393,Complete,English,1759039781_68d8d12548eae2.27747691,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.1.206,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,9.0,Job security,,"Types of roles available, Career progression and development, Work-life balance and culture",0.7333333333333333,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Job Security,High (8-10),Career-Driven Business Students
394,Complete,English,1759039832_68d8d158cdf556.68580354,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.1.206,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,9.0,Learning and development,,"Compensation and benefits, Work-life balance and culture, Application and interview process",0.9,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Learning & Development,High (8-10),Career-Driven Business Students
395,Complete,English,1759039895_68d8d19787dba5.77500513,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",,210.10.1.206,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,9.0,Career growth opportunities,,"Types of roles available, Compensation and benefits, Work-life balance and culture",0.9833333333333333,Early Talent (Internship Seekers),9.0,Year 1,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Career Growth Opportunities,High (8-10),Career-Driven Business Students
