,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
555,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
556,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
558,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
559,8.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
560,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
561,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
562,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
563,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
564,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
565,5.0,Medium (5-7),National Institute of Education (NIE),"I recognise the organisation by name, but don’t have a clear impression of them"
566,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
567,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
569,1.0,Low (1-4),Nanyang Academy of Fine Arts (NAFA),I’m not familiar enough with the organisation to form a solid opinion
571,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
572,7.0,Medium (5-7),Yale-NUS College,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
573,1.0,Low (1-4),LASALLE College of the Arts (LASALLE),I’m not familiar enough with the organisation to form a solid opinion
576,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
577,2.0,Low (1-4),Nanyang Academy of Fine Arts (NAFA),I’m not familiar enough with the organisation to form a solid opinion
578,1.0,Low (1-4),National Institute of Education (NIE),I’m not familiar enough with the organisation to form a solid opinion
580,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
581,3.0,Low (1-4),Nanyang Academy of Fine Arts (NAFA),"I recognise the organisation by name, but don’t have a clear impression of them"
582,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
583,8.0,High (8-10),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
584,5.0,Medium (5-7),LASALLE College of the Arts (LASALLE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
585,7.0,Medium (5-7),Singapore Institute of Technology (SIT),I’m not familiar enough with the organisation to form a solid opinion
586,7.0,Medium (5-7),Singapore University of Social Sciences (SUSS),"I recognise the organisation by name, but don’t have a clear impression of them"
589,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
592,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
593,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
594,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
595,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
596,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
597,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
598,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
599,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
600,7.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
602,6.0,Medium (5-7),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
604,10.0,High (8-10),SIM Global Education,I’m familiar with the organisation and would consider them as a potential employer
605,10.0,High (8-10),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
607,8.0,High (8-10),SIM Global Education,I’m not familiar enough with the organisation to form a solid opinion
608,8.0,High (8-10),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
609,5.0,Medium (5-7),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
613,7.0,Medium (5-7),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
614,10.0,High (8-10),SIM Global Education,I’m familiar with the organisation and would consider them as a potential employer
615,5.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
616,6.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
618,8.0,High (8-10),Others,"I recognise the organisation by name, but don’t have a clear impression of them"
619,5.0,Medium (5-7),SIM Global Education,I’m not familiar enough with the organisation to form a solid opinion
620,10.0,High (8-10),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
624,10.0,High (8-10),SIM Global Education,I’m familiar with the organisation and would consider them as a potential employer
626,3.0,Low (1-4),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
627,5.0,Medium (5-7),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
628,9.0,High (8-10),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
629,7.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
630,6.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
631,8.0,High (8-10),SIM Global Education,I’m familiar with the organisation and would consider them as a potential employer
632,7.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
633,5.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
634,7.0,Medium (5-7),SIM Global Education,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
636,3.0,Low (1-4),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
637,5.0,Medium (5-7),SIM Global Education,I’m not familiar enough with the organisation to form a solid opinion
638,6.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
639,8.0,High (8-10),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
640,8.0,High (8-10),Kaplan Singapore,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
641,8.0,High (8-10),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
642,7.0,Medium (5-7),Singapore University of Technology and Design (SUTD),"I recognise the organisation by name, but don’t have a clear impression of them"
645,3.0,Low (1-4),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
646,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
648,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
649,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
650,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
651,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
652,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
653,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
654,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
656,2.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
657,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
658,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
659,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
661,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
662,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
663,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
664,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
666,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
667,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
669,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
671,7.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
672,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
677,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
678,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
680,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
681,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
682,3.0,Low (1-4),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
683,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
684,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
685,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
686,2.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
688,3.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
689,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
691,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
693,3.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
694,3.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
695,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
696,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
697,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
698,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
699,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
700,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
701,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
702,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
704,3.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
708,10.0,High (8-10),PSB Academy,I’m familiar with the organisation and would consider them as a potential employer
710,5.0,Medium (5-7),PSB Academy,"I recognise the organisation by name, but don’t have a clear impression of them"
712,5.0,Medium (5-7),PSB Academy,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
713,8.0,High (8-10),PSB Academy,I’m not familiar enough with the organisation to form a solid opinion
714,5.0,Medium (5-7),PSB Academy,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
717,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
718,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
719,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
720,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
721,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
722,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
723,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
724,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
725,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
726,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
727,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
728,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
729,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
730,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
731,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
732,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
733,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
735,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
736,1.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
737,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
740,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
741,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
742,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
743,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
744,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
745,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
746,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
747,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
748,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
749,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
750,10.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
751,10.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
753,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
754,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
755,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
756,7.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
757,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
758,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
759,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
760,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
762,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
763,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
764,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
765,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
767,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
769,10.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
771,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
772,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
775,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
776,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
780,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
781,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
782,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
783,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
784,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
787,3.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
788,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
789,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
790,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
797,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
798,10.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
799,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
800,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
801,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
802,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
803,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
804,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
806,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
808,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
810,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
813,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
814,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
815,3.0,Low (1-4),Kaplan Singapore,"I recognise the organisation by name, but don’t have a clear impression of them"
817,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
819,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
821,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
822,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
824,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
827,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
828,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
830,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
832,9.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
835,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
837,6.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
838,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
839,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
840,7.0,Medium (5-7),Singapore Institute of Technology (SIT),"I recognise the organisation by name, but don’t have a clear impression of them"
841,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
842,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
843,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
845,9.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
848,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
849,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
851,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
854,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
855,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
856,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
857,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
858,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
859,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
862,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
863,2.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
866,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
867,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
869,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
870,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
871,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
872,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
873,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
875,4.0,Low (1-4),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
878,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
880,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
881,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
882,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
884,10.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
885,3.0,Low (1-4),Singapore Institute of Technology (SIT),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
886,9.0,High (8-10),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
893,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
894,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
897,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
898,2.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
899,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
900,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
901,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
902,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
903,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
904,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
906,10.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
907,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
909,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
911,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
912,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
914,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
916,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
920,3.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
921,4.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
922,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
923,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
924,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
926,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
930,5.0,Medium (5-7),University of Nevada Las Vegas Singapore (UNLV),I’m familiar with the organisation and would consider them as a potential employer
931,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
933,7.0,Medium (5-7),SIM Global Education,"I recognise the organisation by name, but don’t have a clear impression of them"
935,10.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
936,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
937,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
938,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
939,2.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
941,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
942,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
